Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,The Marvellous Land of Oz (The Wizard of Oz Collection),L. Frank Baum,,,1782263063,9781782263067,4,,Sweet Cherry Publishing,Paperback,176,2016/12/01,,,,read,,read,"Il secondo libro di Oz scarta di lato e cambia protagonisti, con un cast quasi inedito a cui si uniscono alcuni personaggi di ritorno. In pratica è un po' seguito e un po' spin-off, fa molto universo condiviso, world building, continuity e tutte quelle altre robe che negli ultimi dieci anni Marvel ci ha fatto ingoiare con l'imbuto. Tra l'altro non ha una scena dopo i titoli di coda ma ha un discreto Shyamalan Twist nel penultimo capitolo, che ha lasciato mia figlia a bocca spalancata. Bello.",,,1,1
,Sfera,Michael Crichton,,,8811668603,9788811668602,3,,Garzanti,Mass Market Paperback,382,1991/03/01,,,,to-read,,to-read,,,,0,0
,Rose Madder,Stephen King,,,8804478586,9788804478584,,,Mondadori,Mass Market Paperback,590,2000/01/01,,,,to-read,,to-read,,,,0,0
,Punto critico,Michael Crichton,,,8846203437,9788846203434,3,,RL Libri,Others,460,2004/09,,,,to-read,,to-read,,,,0,0
,La stanza degli orrori,Douglas Preston,,Lincoln Child,8846203100,9788846203106,,,RL Libri,Others,480,2004/01,,,,to-read,,to-read,,,,0,0
,David Copperfield,Charles Dickens,,,8806132393,9788806132392,,,Einaudi,Paperback,891,1993/12,,,,to-read,,to-read,,,,0,0
,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,,3125371201,9783125371200,,,Klett,Mass Market Paperback,93,2008/02/20,,,,to-read,,to-read,,,,0,0
,Il trono di spade,George R.R. Martin,,,8804494069,9788804494065,2,,Mondadori (Oscar Bestsellers 1145),Paperback,444,2001/07/17,,,,to-read,,to-read,,,,0,0
,True Grit,Charles Portis,,,1408814005,9781408814000,5,,Bloomsbury Publishing PLC,Paperback,216,2010/12/01,,,,read,,read,,,,1,1
,Echi perduti,Joe R. Lansdale,,,8834711602,9788834711606,3,,Fanucci,Hardcover,406,2006/01/01,,,,read,,read,,,,1,1
,Crash,James G. Ballard,,,8845227375,9788845227370,3,,Bompiani,Mass Market Paperback,258,1996/07,,,,to-read,,to-read,,,,0,0
,Congo,Michael Crichton,,,8811666902,9788811666905,3,,Garzanti,Paperback,372,1985/01,,,,to-read,,to-read,,,,0,0
,Guerre Stellari: Sfida alla Nuova Repubblica,Timothy Zahn,,,8820017717,9788820017712,3,,Sperling & Kupfer,Paperback,396,1994/04/01,,,,to-read,,to-read,,,,0,0
,Guerre stellari: L'ultima missione,Timothy Zahn,,,882001985X,9788820019853,3,,Sperling & Kupfer,Paperback,410,1995/04/01,,,,to-read,,to-read,,,,0,0
,Guerre Stellari: L'erede dell'Impero,Timothy Zahn,,,8820015447,9788820015442,3,,Sperling & Kupfer,Paperback,400,1993/09/01,,,,to-read,,to-read,,,,0,0
,I guardiani della notte,Sergej Luk'janenko,,,8804563524,9788804563525,3,,Mondadori,Paperback,493,2007/02/13,,,,read,,read,,,,1,1
,Underworld,Don DeLillo,,,8806173995,9788806173999,3,,Einaudi,Paperback,886,2005/03/29,,,,to-read,,to-read,,,,0,0
,Star Trek: Invasione - Libro II,Kristine K. Rusch,,Dean W. Smith,8834705645,9788834705643,3,,Fanucci,Others,252,1997/01/01,,,,to-read,,to-read,,,,0,0
,Star Trek: Invasione - Libro III,L. A. Graf,,,8834705653,9788834705650,3,,Fanucci,Paperback,413,1997/01/01,,,,to-read,,to-read,,,,0,0
,Star Trek: Invasione - Libro IV,D. A. Hugh,,,8834705661,9788834705667,3,,Fanucci,Others,315,1997/01,,,,to-read,,to-read,,,,0,0
,N.P.,Banana Yoshimoto,,,8807812800,9788807812804,3,,Feltrinelli,Paperback,168,2007/06/04,,,,to-read,,to-read,,,,0,0
,Neuromante,William Gibson,,,8842903779,9788842903772,3,,Nord,Paperback,261,1986/10/01,,,,to-read,,to-read,,,,0,0
,Senza rimorso,Tom Clancy,,,8817114790,9788817114790,3,,Rizzoli,Others,726,1995/05/24,,,,to-read,,to-read,,,,0,0
,Maneggiare con cura,Joe R. Lansdale,,,8834708873,9788834708873,3,,Fanucci,Paperback,346,2004/01/01,,,,to-read,,to-read,,,,0,0
,Jude l'oscuro,Thomas Hardy,,,8806118854,9788806118853,3,,Einaudi,Others,446,1997/01/01,,,,to-read,,to-read,,,,0,0
,L'ultima spiaggia,Alex Garland,,,8845230872,9788845230875,3,,Bompiani,Others,398,1997/07/01,,,,to-read,,to-read,,,,0,0
,Judgement Day,Jane Jensen,,,0345430352,9780345430359,3,,Random House USA Inc,Paperback,512,2002/03/01,,,,to-read,,to-read,,,,0,0
,La casa stregata,H. P. Lovecraft,,,887983097X,9788879830973,3,,Newton Compton,Mass Market Paperback,95,1993/01/01,,,,to-read,,to-read,,,,0,0
,Lei,H. Rider Haggard,,,8871226046,9788871226040,3,,Demetra s.r.l,Paperback,,1995/01/01,,,,to-read,,to-read,,,,0,0
,L'allenatore,John Grisham,,,8804536527,9788804536529,3,,Mondadori,Paperback,149,2004/08/01,,,,to-read,,to-read,,,,0,0
,Londonstani,Gautam Malkani,,,0007231768,9780007231768,3,,HarperCollins Publishers,Paperback,384,2007/04/02,,,,read,,read,,,,1,1
,Simon's cat,Simon Tofield,,,8850220413,9788850220410,4,,TEA,Hardcover,260,2009/10/22,,,,to-read,,to-read,,,,0,0
,Le correzioni,Jonathan Franzen,,,8806174495,9788806174491,4,,Einaudi,Paperback,604,2005/03/21,,,,read,,read,,,,1,1
,The Lovely Bones,Alice Sebold,,,0330485385,9780330485388,3,,Pan Macmillan,Paperback,256,2003/05/03,,,,read,,read,,,,1,1
,"Dofus, Tome 1",Halden,,,274704615X,9782747046152,,,Bayard jeunesse,Paperback,395,2013/10/01,,,,to-read,,to-read,,,,0,0
,Finché non cala il buio,Charlaine Harris,,,8876250581,9788876250583,3,,Fazi,Paperback,343,2009/04/23,,,,read,,read,,,,1,1
,I Simpson,John Ortved,,,887638152X,9788876381522,,,Isbn Edizioni,Paperback,312,2009/11/19,,,,to-read,,to-read,,,,0,0
,The Road,Cormac McCarthy,,,0307472124,9780307472120,4,,Vintage,Mass Market Paperback,304,2008/11/18,,,,read,,read,,,,1,1
,The Bro Code,Matt Kuhn,,Barney Stinson,143911000X,9781439110003,,,Fireside,Paperback,208,2008/10/14,,,,to-read,,to-read,,,,0,0
,Where the Wild Things are,Maurice Sendak,,,0060254920,9780060254926,,,HarperCollins Publishers Inc,Hardcover,32,2006/06/03,,,,to-read,,to-read,,,,0,0
,Carrie,Stephen King,,,8845210006,9788845210006,4,,Bompiani,Mass Market Paperback,176,1984/01,,,,to-read,,to-read,,,,0,0
,The Art of Game Design,Jesse Schell,,,1466598646,9781466598645,5,,CRC Press,Paperback,555,2015/01/01,,,,read,,read,"Ricco, denso, intelligente e pieno di spunti interessanti. Una lettura importante per chiunque ami i videogiochi e voglia saperne di più sulla loro creazione e sui loro meccanismi, anche se chiaramente è diretto soprattutto a chi vuole lavorare con essi.",,,1,1
,Return of the Gold,Dan Bickley,,,1600376371,9781600376375,,,Morgan James,Paperback,204,2009/01/01,,,,to-read,,to-read,,,,0,0
