Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,Il miracolo di Castel di Sangro,Joe McGinniss,,,8879530984,9788879530989,,,Kaos,Paperback,460,2001/04/03,,,,to-read,,to-read,,,,0,0
,La sfida di Hide,Enrico Vincenti,,,8888551336,9788888551333,,,Lìmina,Paperback,290,2004/01/01,,,,to-read,,to-read,,,,0,0
,Il mondo nuovo - Ritorno al mondo nuovo,Aldous Huxley,,,8804487801,9788804487807,,,Mondadori,Paperback,340,2000/09/01,,,,to-read,,to-read,,,,0,0
,L' Oriente è qui,Paolo Rossi,,,8888551638,9788888551630,,,Lìmina,Paperback,233,2005/01/01,,,,to-read,,to-read,,,,0,0
,Scudetti dopati,Carlo Petrini,,,8879531468,9788879531467,,,Kaos,Paperback,281,2005/05/31,,,,to-read,,to-read,,,,0,0
,I pallonari,Carlo Petrini,,,8879531166,9788879531160,,,Kaos,Paperback,180,2003/09/12,,,,to-read,,to-read,,,,0,0
,Gli indagatori dell'incubo,,,,8879831380,9788879831383,,,Newton Compton Editori,Paperback,100,1995/01/01,,,,to-read,,to-read,,,,0,0
,Racconti d'incubo,Edgar Allan Poe,,,8879831461,9788879831468,,,Newton Compton,Paperback,100,1993/01/01,,,,to-read,,to-read,,,,0,0
,Racconti dell'impossibile,Edgar Allan Poe,,,8879834371,9788879834377,,,Newton Compton,Paperback,91,1994/02/01,,,,to-read,,to-read,,,,0,0
,Piccadilly Jim,Pelham G. Wodehouse,,,8882468445,9788882468446,,,Guanda,Paperback,256,2005/07/07,,,,to-read,,to-read,,,,0,0
,Guerre Stellari,George Lucas,,Alan Dean Foster,8820023857,9788820023850,,,Sperling & Kupfer,Paperback,208,1997/03/25,,,,to-read,,to-read,,,,0,0
,La mostra delle atrocità,James G. Ballard,,,8845224376,9788845224379,,,Bompiani,Paperback,272,1995/06,,,,to-read,,to-read,,,,0,0
,Kadath,H. P. Lovecraft,,,8879834819,9788879834810,,,Newton - Compagnia del Fantastico,Paperback,95,1994/04/30,,,,to-read,,to-read,,,,0,0
,Star Trek: Le Ceneri del Paradiso,William Shatner,,,883470505X,9788834705056,,,Fanucci,Mass Market Paperback,318,1995/01,,,,to-read,,to-read,,,,0,0
,Fiabe,Jacob Grimm,,Wilhelm Grimm,8806129864,9788806129866,,,Einaudi,Paperback,652,1996/03/06,,,,to-read,,to-read,,,,0,0
,L'isola di Arturo,Elsa Morante,,,8806409077,9788806409074,,,Einaudi,Others,386,1981/01/01,,,,to-read,,to-read,,,,0,0
,Potere esecutivo,Tom Clancy,,,8817671231,9788817671231,,,Rizzoli,Others,960,1997/01,,,,to-read,,to-read,,,,0,0
,Recuperate il Titanic!,Clive Cussler,,,8817210552,9788817210553,,,Rizzoli,Paperback,356,1998/01,,,,to-read,,to-read,,,,0,0
,Un'aquila nel cielo,Wilbur Smith,,,8878193712,9788878193710,,,TEA,Mass Market Paperback,339,1993/02/22,,,,to-read,,to-read,,,,0,0
,La Porta di Tolomeo,Jonathan Stroud,,,8884513030,9788884513038,,,Salani,Hardcover,503,2006/05/25,,,,to-read,,to-read,,,,0,0
,Pomodori verdi fritti al Caffè di Whistle Stop,Fannie Flagg,,,8845222101,9788845222108,,,Bompiani,Paperback,361,1994/01,,,,to-read,,to-read,,,,0,0
,In un tempo freddo e oscuro,Joe R. Lansdale,,,8806176455,9788806176457,,,Einaudi,Paperback,231,2006/06/20,,,,to-read,,to-read,,,,0,0
,Freddo a luglio,Joe R. Lansdale,,,8834710193,9788834710197,,,Fanucci,Paperback,251,2004/01/01,,,,to-read,,to-read,,,,0,0
,Intron Depot 2,士郎 正宗,,,4878921560,9784878921568,4,,青心社,Paperback,113,1998/11/26,,,,to-read,,to-read,,,,0,0
,Giger,Taschen Publishing,,,3822887803,9783822887806,4,,Taschen,Hardcover,,1999/01/01,,,,to-read,,to-read,,,,0,0
,HR GIGER ARh+,H.R. Giger,,,3822890901,9783822890905,4,,Taschen,Hardcover,95,1994/01/01,,,,to-read,,to-read,,,,0,0
,The Art Of Giorgio Cavazzano,Luca Boschi,,"Roberto Irace, Mauro Bruni",8886131518,9788886131513,4,,Lo Scarabeo,Paperback,128,1997/01,,,,to-read,,to-read,,,,0,0
,Il codice Rebecca - La cruna dell'ago,Ken Follett,,,8804400455,9788804400455,,,Mondadori,Paperback,,1995/01,,,,to-read,,to-read,,,,0,0
,Le avventure di Tom Sawyer,Mark Twain,,,8821120147,9788821120145,,,Marietti,Paperback,220,1984/01/01,,,,to-read,,to-read,,,,0,0
,Il rosso e il nero,Stendhal,,,8806132423,9788806132422,,,Einaudi,Paperback,555,1993/06,,,,to-read,,to-read,,,,0,0
,Ventisei poesie,Dylan Thomas,,,880442463X,9788804424635,,,Mondadori,Others,69,1996/12,,,,to-read,,to-read,,,,0,0
,Terra!,Stefano Benni,,,8807809907,9788807809903,,,Feltrinelli,Mass Market Paperback,320,2009/03/02,,,,to-read,,to-read,,,,0,0
,Il grande sonno,Raymond Chandler,,,8807810832,9788807810831,,,Feltrinelli,Mass Market Paperback,224,2008/09/22,,,,to-read,,to-read,,,,0,0
,Cassandra,Christa Wolf,,,887641083X,9788876410833,,,E/O,Paperback,192,1989/11/01,,,,to-read,,to-read,,,,0,0
,X-Files: Spiriti del male,Charles Grant,,,8834705416,9788834705414,,,Fanucci,Paperback,,1996/01,,,,to-read,,to-read,,,,0,0
,La casa degli spiriti,Isabel Allende,,,880781000X,9788807810008,,,Feltrinelli,Paperback,368,2009/02/09,,,,to-read,,to-read,,,,0,0
,23 poesie,Charles Bukowski,,,8804414855,9788804414858,,,Mondadori,Others,68,1995/12,,,,to-read,,to-read,,,,0,0
,39 poesie,Umberto Saba,,,8804418222,9788804418221,,,Mondadori,Paperback,66,1996/06/01,,,,to-read,,to-read,,,,0,0
,53 poesie,Salvatore Quasimodo,,,8804419180,9788804419181,,,Mondadori,Paperback,66,1996/06/01,,,,to-read,,to-read,,,,0,0
,Spoon River,Edgar Lee Masters,,,8804419466,9788804419464,,,Mondadori,Paperback,66,1996/06/01,,,,to-read,,to-read,,,,0,0
,San Francisco blues,Jack Kerouac,,,8804416750,9788804416753,,,Mondadori,Paperback,66,1996/07,,,,to-read,,to-read,,,,0,0
,La stella piange,Arthur Rimbaud,,,8804420820,9788804420828,,,Mondadori,Others,70,1996/08,,,,to-read,,to-read,,,,0,0
,Trentatré poesie,William Butler Yeats,,,8804429143,9788804429142,,,Mondadori,Others,,1997/04,,,,to-read,,to-read,,,,0,0
,Beat generation,,,,8804427094,9788804427094,,,Mondadori,Paperback,154,1996/12,,,,to-read,,to-read,,,,0,0
,I manipolatori della pazzia,Thomas S. Szasz,,,8807222264,9788807222269,,,Feltrinelli,Others,404,1981/01,,,,to-read,,to-read,,,,0,0
,Paura e disgusto a Las Vegas,Hunter S. Thompson,,,8845243486,9788845243486,,,Bompiani,Paperback,270,2000/02/09,,,,to-read,,to-read,,,,0,0
,Luna piena,Pelham G. Wodehouse,,,8878180440,9788878180444,,,TEA,Paperback,215,1996/05/09,,,,to-read,,to-read,,,,0,0
,20 Poesie,Pasolini P. Paolo,,,8804429127,9788804429128,,,Arnoldo Mondadori (I Miti poesia),Mass Market Paperback,70,1997/07/01,,,,to-read,,to-read,,,,0,0
,Trentadue poesie,William Blake,,,8804432225,9788804432227,,,Mondadori,Others,72,1997/08,,,,to-read,,to-read,,,,0,0
,Fiori di fuoco,,,,8804444339,9788804444336,,,Mondadori,Others,136,1998/01,,,,to-read,,to-read,,,,0,0
,La voce della pioggia è la mia voce,,,,8804449306,9788804449300,,,Mondadori,Others,63,1998/06,,,,to-read,,to-read,,,,0,0
,La caduta dell'America,Allen Ginsberg,,,8804453524,9788804453529,,,Mondadori,Paperback,61,1998/08/01,,,,to-read,,to-read,,,,0,0
,Fiabe sioux e cheyenne,,,,8804378468,9788804378464,,,Mondadori,Paperback,155,1994/02/01,,,,to-read,,to-read,,,,0,0
,Fiabe giapponesi,,,,8804366362,9788804366362,,,Mondadori,Softcover,243,1994/01,,,,to-read,,to-read,,,,0,0
,La musica americana dal song al rock,Walter Mauro,,,8879835122,9788879835121,,,Newton Compton Editori,Softcover,100,1994/08,,,,to-read,,to-read,,,,0,0
,Dizionario della musica Pop & Rock,Claudio Quarantotto,,,8879834126,9788879834124,,,Newton Compton Editori,Mass Market Paperback,100,1995/01,,,,to-read,,to-read,,,,0,0
,Antologia di Spoon River,Edgar Lee Masters,,,880430295X,9788804302957,,,Mondadori,Mass Market Paperback,542,1987/08,,,,to-read,,to-read,,,,0,0
,Storia del Far West,Viviana Zarbo,,,8879837214,9788879837217,,,Newton Compton Editori,Others,100,1996/01,,,,to-read,,to-read,,,,0,0
,Storia del fumetto,Manfredo Guerrera,,,8879838849,9788879838849,,,Newton Compton Editori,Others,96,1995/10,,,,to-read,,to-read,,,,0,0
,Il fato e ­la superstizione,Plutarco,,,8879831275,9788879831277,,,Newton Compton Editori,Mass Market Paperback,100,1993/01/01,,,,to-read,,to-read,,,,0,0
,Ecce homo,Friedrich Nietzsche,,,8879830546,9788879830546,,,Newton Compton Editori,Mass Market Paperback,100,1993/01,,,,to-read,,to-read,,,,0,0
,Canti degli indiani d'America,,,,8879830732,9788879830737,,,Newton Compton Editori,Mass Market Paperback,100,1993/01,,,,to-read,,to-read,,,,0,0
,Diario beat,Allen Ginsberg,,,8881836963,9788881836963,,,Newton Compton Editori,Paperback,352,1997/12,,,,to-read,,to-read,,,,0,0
,Michael Mann,F. X. Feeney,,,3822842648,9783822842645,,,Taschen,Hardcover,192,2006/01/01,,,,to-read,,to-read,,,,0,0
,Wyrd Sisters,Terry Pratchett,,,0552152633,9780552152631,,,Corgi Adult,Paperback,368,2004/09/01,,,,to-read,,to-read,,,,0,0
,The Prestige,Christopher Priest,,,0575075805,9780575075801,,,Gollancz,Paperback,304,2005/02/10,,,,to-read,,to-read,,,,0,0
,Storia del Medio Oriente (1798-2005),Massimo Campanini,,,8815113703,9788815113702,,,Il Mulino,Paperback,257,2006/07/27,,,,to-read,,to-read,,,,0,0
,39 fiori del male,Charles Baudelaire,,,8804429119,9788804429111,,,Mondadori. I miti poesia 39,Paperback,61,1997/01/01,,,,to-read,,to-read,,,,0,0
,Haiku,,,,8804427205,9788804427209,,,Mondadori,Paperback,288,1998/02/24,,,,to-read,,to-read,,,,0,0
,Cina,,,,8860401461,9788860401465,,,Lonely Planet Italia,Paperback,1136,2007/11/22,,,,to-read,,to-read,,,,0,0
,No Country for Old Men,Cormac McCarthy,,,0330454277,9780330454278,,,Pan Macmillan,Paperback,309,2007/12/07,,,,to-read,,to-read,,,,0,0
,Into the Wild,Jon Krakauer,,,0330455842,9780330455848,,,Pan Books,Paperback,205,2007/01/01,,,,to-read,,to-read,,,,0,0
,Cronaca di una morte annunciata,Gabriel Garcia Marquez,,,8804467665,9788804467663,,,Mondadori,Others,128,1999/03/01,,,,to-read,,to-read,,,,0,0
,La metamorfosi,Franz Kafka,,,8807820226,9788807820229,,,Feltrinelli,Mass Market Paperback,304,2009/01/26,,,,to-read,,to-read,,,,0,0
,Abarat,Clive Barker,,,0006513700,9780006513704,4,,HarperCollins Publishers,Paperback,496,2004/08/02,,,,read,,read,,,,1,1
,Rumble Tumble,Joe R. Lansdale,,,8806166794,9788806166793,4,,Einaudi,Paperback,251,2004/10/05,,,,to-read,,to-read,,,,0,0
,Nome in codice Red Rabbit,Tom Clancy,,,8846203291,9788846203298,3,,RL Libri,Others,600,2004/07,,,,read,,read,,,,1,1
,Loop,Koji Suzuki,,,8850213824,9788850213825,3,,TEA,Hardcover,338,2007/06/21,,,,read,,read,,,,1,1
,Note su Hiroshima,Kenzaburo Oe,,,8875200505,9788875200503,,,Alet Edizioni,Paperback,224,2008/01/01,,,,to-read,,to-read,,,,0,0
,36 blues,Jack Kerouac,,,8804444347,9788804444343,,,Mondadori,Paperback,62,1998/03/01,,,,to-read,,to-read,,,,0,0
,Il fantasma del Titanic,Arthur C. Clarke,,,884541521X,9788845415210,,,Sonzogno,Others,258,1998/02,,,,to-read,,to-read,,,,0,0
,Il senso della vita,Alfred Adler,,,8881836602,9788881836604,,,Newton Compton Editori,Others,176,1997/12,,,,to-read,,to-read,,,,0,0
,La canzone di Shannara,Terry Brooks,,,8804384042,9788804384045,,,Mondadori (Oscar Bestsellers 389),Paperback,490,1994/04/01,,,,to-read,,to-read,,,,0,0
,La Casta,Sergio Rizzo,,Gian Antonio Stella,881702791X,9788817027915,,,Rizzoli,Paperback,314,2008/11/12,,,,to-read,,to-read,,,,0,0
,Le notti bianche,Fëdor Dostoevskij,,,8804516046,9788804516040,,,Mondadori,Paperback,105,2003/01/01,,,,to-read,,to-read,,,,0,0
,Imperatrice,Sa Shan,,,8845232891,9788845232893,,,Bompiani,Paperback,436,2004/11/10,,,,to-read,,to-read,,,,0,0
,Pulp,Charles Bukowski,,,8807813645,9788807813641,,,Feltrinelli,Paperback,184,2009/03/02,,,,to-read,,to-read,,,,0,0
,Pappamondo 2009,,,,8861890377,9788861890374,,,Terre di Mezzo,Paperback,372,2004/10/31,,,,to-read,,to-read,,,,0,0
,La fisica dei supereroi,James Kakalios,,,8806183923,9788806183929,3,,Einaudi,Paperback,395,2007/09/11,,,,read,,read,,,,1,1
,Scelti dalle tenebre,Anne Rice,,,8878182761,9788878182769,3,,TEA,Paperback,453,1997/10/09,,,,to-read,,to-read,,,,0,0
,La notte del drive-in,Joe R. Lansdale,,,8806170023,9788806170028,5,,Einaudi,Paperback,342,2004/04/13,,,,to-read,,to-read,,,,0,0
,Il grande inverno,George R.R. Martin,,,8804490675,9788804490678,2,,Mondadori,Paperback,448,2001/07/17,,,,to-read,,to-read,,,,0,0
,Tsugumi,Banana Yoshimoto,,,8807812940,9788807812941,3,,Feltrinelli,Paperback,160,2007/10/15,,,,to-read,,to-read,,,,0,0
,Mrs. Dalloway,Virginia Woolf,,,0140282548,9780140282542,3,,Penguin Books Ltd,Paperback,208,1999/02/25,,,,read,,read,,,,1,1
,Life of Pi,Yann Martel,,,0547416113,9780547416113,,,Houghton Mifflin Harcourt,eBook,336,2002/01/01,,,,to-read,,to-read,,,,0,0
,The Zombie Survival Guide,Max Brooks,,,071563318X,9780715633182,,,Gerald Duckworth and Co. Ltd.,Paperback,272,2004/08/27,,,,to-read,,to-read,,,,0,0
,World War Z,Max Brooks,,,0715637037,9780715637036,4,,Gerald Duckworth & Co Ltd,Paperback,352,2007/08/09,,,,read,,read,,,,1,1
,Harry Potter e il principe mezzosangue,J. K. Rowling,,,8884516374,9788884516374,3,,Salani,Hardcover,591,2006/01/01,,,,to-read,,to-read,,,,0,0
,Let the Right One In,John Ajvide Lindqvist,,,1847248489,9781847248480,4,,Quercus,Paperback,519,2009/01/01,,,,read,,read,,,,1,1
,The Fountainhead,,,Rand,0452273331,9780452273337,,,Plume,Paperback,752,1994/11/01,,,,to-read,,to-read,,,,0,0
,Dead Space: Catalyst,Brian Evenson,,,142998676X,9781429986762,3,,Tor Books,eBook,416,2012/10/02,,,,read,,read,,,,1,1
,Old Man's War,John Scalzi,,,1429914718,9781429914710,,,Tor,eBook,320,2007/01/14,,,,to-read,,to-read,,,,0,0
,Cujo,Stephen King,,,8878242357,9788878242357,3,,Sperling & Kupfer,Mass Market Paperback,384,1992/05/07,,,,to-read,,to-read,,,,0,0
,I pilastri della terra,Ken Follett,,,8804407840,9788804407843,,,Mondadori,Paperback,1032,1995/07/01,,,,to-read,,to-read,,,,0,0
,Il mondo perduto,Michael Crichton,,,8811660963,9788811660965,3,,Garzanti,Hardcover,448,1996/06,,,,to-read,,to-read,,,,0,0
,Dal Big bang ai buchi neri,Stephen Hawking,,,8846200527,9788846200525,,,RL Libri,Mass Market Paperback,224,1998/06,,,,to-read,,to-read,,,,0,0
,Testimone inconsapevole,Gianrico Carofiglio,,,8838918007,9788838918001,3,,Sellerio Editore Palermo,Paperback,316,2002/08/30,,,,read,,read,,,,1,1
,Venezia è un pesce,Tiziano Scarpa,,,8807815966,9788807815966,,,Feltrinelli,Mass Market Paperback,128,2008/09/15,,,,to-read,,to-read,,,,0,0
,Magic of Lucas Arts,Chronicle Books,,,0811861848,9780811861847,,,Chronicle Books,Hardcover,256,2008/09/01,,,,to-read,,to-read,,,,0,0
,Postmortem,Patricia D Cornwell,,,8804409797,9788804409793,,,"Mondadori (I Miti, 17)",Mass Market Paperback,360,1995/11/01,,,,to-read,,to-read,,,,0,0
,Il cimitero dei senza nome,Patricia D Cornwell,,,880444438X,9788804444381,,,Mondadori,Mass Market Paperback,364,1998/06,,,,to-read,,to-read,,,,0,0
,L'ultimo distretto,Patricia D Cornwell,,,8804500751,9788804500759,,,Mondadori,Mass Market Paperback,510,2001/11,,,,to-read,,to-read,,,,0,0
,Sulla strada,Jack Kerouac,,,880440406X,9788804404064,5,,Mondadori,Paperback,384,1995/03,,,,to-read,,to-read,,,,0,0
,Flatlandia,Edwin A. Abbott,,,8845909824,9788845909825,4,,Adelphi,Paperback,166,1993/06/09,,,,read,,read,,,,1,1
,The Unofficial NES/Famicom,Steve Jarratt,,Damien McFerran,0995658617,9780995658615,5,,Bitmap,Paperback,536,2016/01/01,,,,read,,read,"La serie cresce con decisione ad ogni volume e questa quarta uscita dedicata al NES/Famicom è veramente una bomba per qualità, abbondanza e interesse dei contenuti.",,,1,1
,The Story of the Commodore Amiga In Pixels,Roger M. Kean,,,099313159X,9780993131592,5,,Fusion Retro Books,Paperback,288,2017/01/01,,,,read,,read,"Ricco di informazioni e racconti da parte di chi c'era, con un sacco di ottimi contributi fotografici. Imperdibile per chi ama questo genere di libri.",,,1,1
,King Dork,Frank Portman,,,0385732910,9780385732918,3,,Delacorte Press Books for Young Readers,Hardcover,344,2006/04/11,,,,read,,read,,,,1,1
,Terzo manuale delle Giovani Marmotte,Walt Disney,,,8804142774,9788804142775,4,,Mondadori,Hardcover,192,1986/01,,,,to-read,,to-read,,,,0,0
,Fanteria dello spazio,Robert A. Heinlein,,,8804398191,9788804398196,4,,Mondadori,Mass Market Paperback,294,1995/01,,,,to-read,,to-read,,,,0,0
,Kitchen,Banana Yoshimoto,,,8807812436,9788807812439,3,,Feltrinelli,Paperback,150,2008/09/15,,,,to-read,,to-read,,,,0,0
,Bridge to Terabithia,Katherine Paterson,,,0140366180,9780140366181,5,,Penguin Books Ltd,Paperback,160,1995/03/30,,,,read,,read,,,,1,1
,Breakfast at Tiffany's,Truman Capote,,,0141182792,9780141182797,4,,Penguin Classics,Paperback,160,2000/04/27,,,,read,,read,,,,1,1
,1984,George Orwell,,,8804507454,9788804507451,,,A. Mondadori (Oscar Classici Moderni),Paperback,336,2002/02/01,,,,to-read,,to-read,,,,0,0
,"Dizionario italiano-francese, francese-italiano",G. Laurent,,,881194225X,9788811942252,,,Garzanti,Others,516,1987/07,,,,to-read,,to-read,,,,0,0
,Fight Club,Chuck Palahniuk,,,8804508353,9788804508359,4,,Mondadori,Paperback,223,2004/10/05,,,,read,,read,,,,1,1
,Il signore delle mosche,William Golding,,,8804492465,9788804492467,5,,Mondadori,Paperback,250,2001/02/01,,,,to-read,,to-read,,,,0,0
,Invisible Monsters,Chuck Palahniuk,,,8804521368,9788804521365,,,Mondadori,Paperback,227,2003/04/29,,,,to-read,,to-read,,,,0,0
,L'ultima amante di Hachiko,Banana Yoshimoto,,,8807815494,9788807815492,,,Feltrinelli,Paperback,112,2008/02/18,,,,to-read,,to-read,,,,0,0
,Capitani oltraggiosi,Joe R. Lansdale,,,8806172336,9788806172336,4,,Einaudi,Paperback,273,2005/11/29,,,,to-read,,to-read,,,,0,0
,The Game,Neil Strauss,,,184767237X,9781847672377,,,Canongate Books,Paperback,512,2007/12/06,,,,to-read,,to-read,,,,0,0
,La sottile linea scura,Joe R. Lansdale,,,8806169122,9788806169121,3,,Einaudi,Paperback,300,2004/04/27,,,,to-read,,to-read,,,,0,0
,Great Jones Street,Don DeLillo,,,8806189840,9788806189846,,,Einaudi,Paperback,242,2009/02/03,,,,to-read,,to-read,,,,0,0
,L'elefante scomparso,Haruki Murakami,,,8806191357,9788806191351,,,Einaudi,Paperback,311,2009/02/17,,,,to-read,,to-read,,,,0,0
,Sotto un cielo cremisi,Joe R. Lansdale,,,8834714814,9788834714812,3,,Fanucci,Paperback,224,2009/04/23,,,,read,,read,,,,1,1
,The Rough Guide to Berlin 8,Richard Trillo,,,1858283825,9781858283821,,,Rough Guides,Paperback,1,2008/03/31,,,,to-read,,to-read,,,,0,0
,Cuore di tenebra,Joseph Conrad,,,8807821184,9788807821189,,,Feltrinelli,Paperback,124,2008/03/03,,,,to-read,,to-read,,,,0,0
,Palpebre,Gianni Canova,,,8811741092,9788811741091,3,,Garzanti,Hardcover,230,2010/01/14,,,,read,,read,,,,1,1
,Harry Potter e i doni della morte,J. K. Rowling,,,8884518784,9788884518781,4,,Salani,Hardcover,701,2008/01/01,,,,read,,read,,,,1,1
,Una tigre in casa,Carl Van Vechten,,,8865830301,9788865830307,,,LIT - Libri in Tasca,Paperback,380,2011/08/29,,,,to-read,,to-read,,,,0,0
,Pixar,AA. VV.,,,8866480673,9788866480679,4,,24 Ore Cultura,Paperback,184,2011/01/01,,,,to-read,,to-read,,,,0,0
,The Time Traveler's Wife,Audrey Niffenegger,,,0099464462,9780099464464,,,Vintage,Paperback,560,2004/05/29,,,,to-read,,to-read,,,,0,0
,Club Dead,Charlaine Harris,,,0441010512,9780441010516,3,,Ace,Mass Market Paperback,272,2003/04/29,,,,read,,read,,,,1,1
,Ecstasy,Irvine Welsh,,,8846201981,9788846201980,,,RL Libri,Paperback,304,2001/08/01,,,,to-read,,to-read,,,,0,0
,Reality Is Broken,Jane McGonigal,,,1594202850,9781594202858,3,,"Penguin Press HC, The",Hardcover,388,2011/01/20,,,,read,,read,,,,1,1
,Friday Night Lights,H. G. Bissinger,,,0306809907,9780306809903,5,,The Perseus Books Group,Paperback,400,2000/07/21,,,,read,,read,,,,1,1
,Deus Ex,James Swallow,,,0345524748,9780345524744,3,,Del Rey Books,eBook,352,2011/02/22,,,,read,,read,,,,1,1
,Persuasive Games,Ian Bogost,,,0262514885,9780262514880,,,MIT Press Ltd,Paperback,464,2010/09/10,,,,to-read,,to-read,,,,0,0
,Masters of Doom,David Kushner,,,0812972155,9780812972153,,,Random House Trade Paperbacks,Paperback,368,2004/05/11,,,,to-read,,to-read,,,,0,0
,History of Nintendo,Florent Gorges,,,2918272159,9782918272151,,,Pix n Love Publishing,Paperback,242,2011/08/01,,,,to-read,,to-read,,,,0,0
,Popco,Scarlett Thomas,,,1847674348,9781847674340,3,,Canongate Books Ltd.,Others,467,2009/02/01,,,,read,,read,,,,1,1
,The Art of Spirited Away,,,,1569317771,9781569317778,,,VIZ Media LLC,Hardcover,240,2002/10/01,,,,to-read,,to-read,,,,0,0
,The Art of My Neighbor Totoro,Hayao Miyazaki,,Nobuhiro Watsuki,1591166985,9781591166986,,,VIZ Media,Hardcover,176,2005/11/08,,,,to-read,,to-read,,,,0,0
,Tough Sh*t,Kevin Smith,,,110155424X,9781101554241,,,Gotham Books,Others,272,2012/03/20,,,,to-read,,to-read,,,,0,0
,Cloud Atlas,David Mitchell,,,0307483045,9780307483041,,,Random House,eBook,528,2008/12/10,,,,to-read,,to-read,,,,0,0
,Bioshock,John Shirley,,,8863550921,9788863550924,,,Multiplayer Edizioni,Hardcover,464,2012/02/01,,,,abandoned,,abandoned,,,,1,1
,Le catene di Gorée,Giuseppe Cecconi,,Ndongo Diop,889770705X,9788897707059,,,Giovane Africa,Paperback,82,2011/06/01,,,,to-read,,to-read,,,,0,0
,Generation Xbox: How Videogames Invaded Hollywood,Jamie Russell,,,0956507247,9780956507242,4,,Yellow Ant,Paperback,330,2012/03/31,,,,read,,read,,,,1,1
,The Making of Karateka,Jordan Mechner,,,1480297232,9781480297234,4,,CreateSpace,Paperback,236,2012/12/26,,,,read,,read,,,,1,1
,Generation 64,Jimmy Wilhelmsson,,,0993012949,9780993012945,4,,Bitmap,Hardcover,188,2016/03/01,,,,read,,read,"La struttura segmentata lo rende magari poco scorrevole, ma il focus ridotto e teoricamente poco interessante per chi non ha vissuto in quei luoghi gli permette di fare un discorso molto concentrato, convincente e lineare, trovando invece temi universali. ",,,1,1
,BioShock: Rapture,John Shirley,,,1429949317,9781429949316,3,,Tor Books,eBook,432,2011/07/19,,,,read,,read,,,,1,1
,L'ultimo cavaliere,Stephen King,,,8882745929,9788882745929,,,Sperling & Kupfer,Paperback,223,2003/07/01,,,,to-read,,to-read,,,,0,0
,La lunga marcia,Stephen King,,,8820026341,9788820026349,5,,Sperling & Kupfer,Hardcover,384,1998/09/08,,,,to-read,,to-read,,,,0,0
,Siddharta,Hermann Hesse,,,884590184X,9788845901843,3,,Adelphi,Paperback,198,1985/09/30,,,,to-read,,to-read,,,,0,0
,La ragazza dello Sputnik,Haruki Murakami,,,8806175009,9788806175009,4,,Einaudi,Paperback,236,2006/04/12,,,,read,,read,,,,1,1
,I miti di Cthulhu,Howard P. Lovecraft,,,8879839063,9788879839068,,,Newton Compton Editori,Paperback,320,1995/01/01,,,,to-read,,to-read,,,,0,0
,Fragile Things,Neil Gaiman,,,0755334159,9780755334155,2,,Headline Review,Paperback,448,2007/04/05,,,,read,,read,,,,1,1
,Mucchio d'ossa,Stephen King,,,880450806X,9788804508069,3,,Mondadori,Paperback,608,2002/07,,,,to-read,,to-read,,,,0,0
,Extra Lives,Tom Bissell,,,0307379280,9780307379283,4,,Pantheon Books,eBook,208,2010/06/08,,,,read,,read,,,,1,1
,Il piccolo principe,Antoine de Saint-Exupéry,,,8845230457,9788845230455,4,,Bompiani,Paperback,128,1997/04/09,,,,read,,read,,,,1,1
,Peter and Max: A Fables Novel,Bill Willingham,,,1401231993,9781401231996,3,,Vertigo,eBook,400,2010/12/28,,,,read,,read,,,,1,1
,Contact,Carl Sagan,,,8817210412,9788817210416,,,Rizzoli,Paperback,404,1997/09,,,,to-read,,to-read,,,,0,0
,The Making of Prince of Persia,Jordan Mechner,,,1468093657,9781468093650,4,,CreateSpace,Paperback,330,2011/12/22,,,,read,,read,<p><b>Edizione</b></p>eBook su Kindle,,,1,1
,Cosmopolis,Don DeLillo,,,0743244257,9780743244251,,,Scribner,Paperback,224,2004/03/30,,,,to-read,,to-read,,,,0,0
,Shining,Stephen King,,,8845215598,9788845215599,4,,Bompiani,Paperback,432,1981/01/01,,,,to-read,,to-read,,,,0,0
,Delitto e castigo,Fëdor Dostoevskij,,,8804536306,9788804536307,5,,Mondadori,Paperback,695,2005/01/14,,,,read,,read,,,,1,1
,The Legend of Zelda,Shigeru Miyamoto,,Eiji Aonuma,1616550414,9781616550417,,,Dark Horse Comics,Hardcover,276,2013/01/29,,,,to-read,,to-read,,,,0,0
,Honoring the Code,Matt Barton,,,1466567538,9781466567535,5,,Taylor & Francis Inc,Paperback,240,2013/04/24,,,,read,,read,,,,1,1
,The History of Sonic the Hedgehog,Marc Petronille,,,1926778561,9781926778563,4,,Udon Entertainment,Others,300,2013/01/01,,,,read,,read,,,,1,1
,Stranger Things Happen,Kelly Link,,,1931520992,9781931520997,,,Small Beer Press,eBook,266,2001/07/01,,,,to-read,,to-read,,,,0,0
,Vintage Games,Matt Barton,,Bill Loguidice,8890455306,9788890455308,,,Raganella,Paperback,480,2009/12,,,,to-read,,to-read,,,,0,0
,Fahrenheit 451,Ray Bradbury,,,8804487712,9788804487715,4,,Mondadori,Paperback,210,2000/10/01,,,,read,,read,,,,1,1
