ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9788834711491,L'ultima caccia,,Joe R. Lansdale,Paperback,177,Fanucci,2006-01-01,,,,,,
9788879530989,Il miracolo di Castel di Sangro,,Joe McGinniss,Paperback,460,Kaos,2001-04-03,,,,,,
9788888551333,La sfida di Hide,Il giapponese più famoso d'Italia,Enrico Vincenti,Paperback,290,Lìmina,2004-01-01,,,,,,
9788804487807,Il mondo nuovo - Ritorno al mondo nuovo,,Aldous Huxley,Paperback,340,Mondadori,2000-09-01,,,,,,
9788888551630,L' Oriente è qui,I calciatori giapponesi in Italia,Paolo Rossi,Paperback,233,Lìmina,2005-01-01,,,,,,
9788879531467,Scudetti dopati,La Juventus 1994-98: flebo e trofei,Carlo Petrini,Paperback,281,Kaos,2005-05-31,,,,,,
9788879531160,I pallonari,"Zone grigie, fondi neri e luci rosse: vent'anni di calcio all'italiana.",Carlo Petrini,Paperback,180,Kaos,2003-09-12,,,,,,
9788879831383,Gli indagatori dell'incubo,Cinque casi del soprannaturale risolti dai maestri dell'orrore,,Paperback,100,Newton Compton Editori,1995-01-xx,,,,,,
9788879831468,Racconti d'incubo,,Edgar Allan Poe,Paperback,100,Newton Compton,1993-01-xx,,,,,,
9788879834377,Racconti dell'impossibile,,Edgar Allan Poe,Paperback,91,Newton Compton,1994-02-xx,,,,,,
9788882468446,Piccadilly Jim,,Pelham G. Wodehouse,Paperback,256,Guanda,2005-07-07,,,,,,
9788820023850,Guerre Stellari,,"George Lucas, Alan Dean Foster",Paperback,208,Sperling & Kupfer,1997-03-25,,,,,,
9788845224379,La mostra delle atrocità,,James G. Ballard,Paperback,272,Bompiani,1995-06,,,,,,
9788879834810,Kadath,Il Fantastico Economico Classico 16,H. P. Lovecraft,Paperback,95,Newton - Compagnia del Fantastico,1994-04-30,,,,,,
9788834705056,Star Trek: Le Ceneri del Paradiso,,William Shatner,Mass Market Paperback,318,Fanucci,1995-01,,,,,,
9788806129866,Fiabe,,"Jacob Grimm, Wilhelm Grimm",Paperback,652,Einaudi,1996-03-06,,,,,,
9788806409074,L'isola di Arturo,,Elsa Morante,Others,386,Einaudi,1981-01-xx,,,,,,
9788817671231,Potere esecutivo,,Tom Clancy,Others,960,Rizzoli,1997-01,,,,,,
9788817210553,Recuperate il Titanic!,,Clive Cussler,Paperback,356,Rizzoli,1998-01,,,,,,
9788878193710,Un'aquila nel cielo,,Wilbur Smith,Mass Market Paperback,339,TEA,1993-02-22,,,,,,
9788884513038,La Porta di Tolomeo,Trilogia di Bartimeus Vol.3,Jonathan Stroud,Hardcover,503,Salani,2006-05-25,,,,,,
9788845222108,Pomodori verdi fritti al Caffè di Whistle Stop,,Fannie Flagg,Paperback,361,Bompiani,1994-01,,,,,,
9788806176457,In un tempo freddo e oscuro,e altri racconti,Joe R. Lansdale,Paperback,231,Einaudi,2006-06-20,,,,,,
9788834710197,Freddo a luglio,,Joe R. Lansdale,Paperback,251,Fanucci,2004-01-01,,,,,,
9784878921568,Intron Depot 2,Blades,士郎 正宗,Paperback,113,青心社,1998-11-26,,,,,4,
9783822887806,Giger,(Spanish edition),Taschen Publishing,Hardcover,,Taschen,1999-01-01,,,,,4,
9783822890905,HR GIGER ARh+,,H.R. Giger,Hardcover,95,Taschen,1994-01-01,,,,,4,
9788886131513,The Art Of Giorgio Cavazzano,,"Luca Boschi, Roberto Irace, Mauro Bruni",Paperback,128,Lo Scarabeo,1997-01,,,,,4,
,Come cucinare giapponese,,Antonella Palazzi,Paperback,116,Gruppo Editoriale Fabbri,1980-11-01,,,,,3,
9788804400455,Il codice Rebecca - La cruna dell'ago,,Ken Follett,Paperback,,Mondadori,1995-01,,,,,,
9788821120145,Le avventure di Tom Sawyer,,Mark Twain,Paperback,220,Marietti,1984-xx-xx,,,,,,
9788806132422,Il rosso e il nero,,Stendhal,Paperback,555,Einaudi,1993-06,,,,,,
,Orizzonte,,Wilbur Smith,Hardcover,647,Mondolibri,2003-05-01,,,,,,
,"Jolanda, la figlia del corsaro nero",,Emilio Salgari,Paperback,,Garzanti,1976-06-01,,,,,,
,Cent'anni di solitudine,,Gabriel Garcia Marquez,Paperback,,Feltrinelli,1981-06-01,,,,,,
,Serial Killer,Storie di ossessione omicida,"Carlo Lucarelli, Massimo Picozzi",Hardcover,219,Mondolibri,2005-02-01,,,,,,
,El Mundo de Los Aztecos,,Denise Còrdova Just,Paperback,,Editorial Villicana,1987-07-01,,,,,,
,Grupos étnicos de México,,Instituto Nacional Indigenista,Paperback,,Instituto Nacional Indigenista,1988-03-01,,,,,,
,La formazione dei concetti e delle teorie nella scienza empirica,,Carl Gustav Hempel,Hardcover,186,"Feltrinelli (Filosofia della scienza, 4)",1961-05-xx,,,,,,
9788804424635,Ventisei poesie,,Dylan Thomas,Others,69,Mondadori,1996-12,,,,,,
9788807809903,Terra!,,Stefano Benni,Mass Market Paperback,320,Feltrinelli,2009-03-02,,,,,,
9788807810831,Il grande sonno,,Raymond Chandler,Mass Market Paperback,224,Feltrinelli,2008-09-22,,,,,,
9788876410833,Cassandra,,Christa Wolf,Paperback,192,E/O,1989-11-01,,,,,,
,Storia della tortura,,Franco Di Bella,Hardcover,,Sugar,1961-09-01,,,,,,
,Luna park Rwanda,,Ciko,Paperback,,S.p.A. Tipografica Sociale - Monza,2000-10-01,,,,,,
,Logica e aritmetica,,Gottlob Frege,Paperback,608,Boringhieri,1965-01-01,,,,,,
9788834705414,X-Files: Spiriti del male,,Charles Grant,Paperback,,Fanucci,1996-01,,,,,,
9788807810008,La casa degli spiriti,,Isabel Allende,Paperback,368,Feltrinelli,2009-02-09,,,,,,
,Il fantasma dello spazio,Urania Classici 296,"Jack Williamson, Frederik Pohl",Paperback,200,Mondadori (Urania Classici),2001-11-01,,,,,,
,Lo straniero,Urania 506,L. P. Davies,Paperback,178,Mondadori (Urania),1969-01-26,,,,,,
,La terza mano,Urania 1054,Larry Niven,Paperback,176,A. Mondadori (Urania),1987-08-02,,,,,,
,La storia futura - Volume 2,Urania Classici 251,Robert A. Heinlein,Paperback,206,Mondadori (Urania Classici),1998-02-01,,,,,,
,La lampada dell'amore,Urania Classici 244,Brian W. Aldiss,Paperback,254,Mondadori (Urania Classici),1997-07-01,,,,,,
9788804414858,23 poesie,,Charles Bukowski,Others,68,Mondadori,1995-12,,,,,,
9788804418221,39 poesie,,Umberto Saba,Paperback,66,Mondadori,1996-06-01,,,,,,
9788804419181,53 poesie,,Salvatore Quasimodo,Paperback,66,Mondadori,1996-06-01,,,,,,
9788804419464,Spoon River,56 poesie,Edgar Lee Masters,Paperback,66,Mondadori,1996-06-01,,,,,,
9788804416753,San Francisco blues,71 poesie,Jack Kerouac,Paperback,66,Mondadori,1996-07,,,,,,
9788804420828,La stella piange,poesie e prose liriche,Arthur Rimbaud,Others,70,Mondadori,1996-08,,,,,,
9788804429142,Trentatré poesie,,William Butler Yeats,Others,,Mondadori,1997-04,,,,,,
9788804427094,Beat generation,67 poesie,,Paperback,154,Mondadori,1996-12,,,,,,
9788807222269,I manipolatori della pazzia,Studio comparato dell'Inquisizione e del Movimento per la salute mentale in America,Thomas S. Szasz,Others,404,Feltrinelli,1981-01,,,,,,
9788845243486,Paura e disgusto a Las Vegas,,Hunter S. Thompson,Paperback,270,Bompiani,2000-02-09,,,,,,
9788878180444,Luna piena,,Pelham G. Wodehouse,Paperback,215,TEA,1996-05-09,,,,,,
,Il salmone del dubbio,Urania 1486 bis,Douglas Adams,Paperback,308,Mondadori (Urania),2004-05-01,,,,,,
9788804429128,20 Poesie,,Pasolini P. Paolo,Mass Market Paperback,70,Arnoldo Mondadori (I Miti poesia),1997-07-01,,,,,,
9788804432227,Trentadue poesie,,William Blake,Others,72,Mondadori,1997-08,,,,,,
9788804444336,Fiori di fuoco,100 poesie d'amore maledetto,,Others,136,Mondadori,1998-01,,,,,,
9788804449300,La voce della pioggia è la mia voce,,,Others,63,Mondadori,1998-06,,,,,,
9788804453529,La caduta dell'America,,Allen Ginsberg,Paperback,61,Mondadori,1998-08-xx,,,,,,
9788804378464,Fiabe sioux e cheyenne,Fiabe e leggende di tutto il mondo,,Paperback,155,Mondadori,1994-02-01,,,,,,
9788804366362,Fiabe giapponesi,Fiabe e leggende di tutto il mondo,,Softcover,243,Mondadori,1994-01,,,,,,
9788879835121,La musica americana dal song al rock,,Walter Mauro,Softcover,100,Newton Compton Editori,1994-08,,,,,,
9788879834124,Dizionario della musica Pop & Rock,,Claudio Quarantotto,Mass Market Paperback,100,Newton Compton Editori,1995-01,,,,,,
9788804302957,Antologia di Spoon River,,Edgar Lee Masters,Mass Market Paperback,542,Mondadori,1987-08,,,,,,
9788879837217,Storia del Far West,,Viviana Zarbo,Others,100,Newton Compton Editori,1996-01,,,,,,
9788879838849,Storia del fumetto,Autori e personaggi dalle origini a oggi,Manfredo Guerrera,Others,96,Newton Compton Editori,1995-10,,,,,,
9788879831277,Il fato e ­la superstizione,Edizione integrale / Testo greco a fronte,Plutarco,Mass Market Paperback,100,Newton Compton Editori,1993-01-xx,,,,,,
9788879830546,Ecce homo,Come si diventa ciò che si è,Friedrich Nietzsche,Mass Market Paperback,100,Newton Compton Editori,1993-01,,,,,,
9788879830737,Canti degli indiani d'America,,,Mass Market Paperback,100,Newton Compton Editori,1993-01,,,,,,
9788881836963,Diario beat,,Allen Ginsberg,Paperback,352,Newton Compton Editori,1997-12,,,,,,
9783822842645,Michael Mann,,F. X. Feeney,Hardcover,192,Taschen,2006-01-01,,,,,,
,La scomparsa dei fatti,Si prega di abolire le notizie per non disturbare le opinioni,Marco Travaglio,Paperback,316,Mondolibri,2007-11-01,,,,,,
9780552152631,Wyrd Sisters,,Terry Pratchett,Paperback,368,Corgi Adult,2004-09-01,,,,,,
9780575075801,The Prestige,,Christopher Priest,Paperback,304,Gollancz,2005-02-10,,,,,,
9788815113702,Storia del Medio Oriente (1798-2005),,Massimo Campanini,Paperback,257,Il Mulino,2006-07-27,,,,,,
,A noi vivi,Urania 1505,Robert A. Heinlein,Paperback,296,A. Mondadori (Urania),2005-12-01,,,,,,
,Tecnoflagello,Urania 1424,David Herter,Paperback,,Mondadori (Urania),2001-10-07,,,,,,
,Redenzione immorale,Urania 1013,Philip K. Dick,Paperback,146,A. Mondadori (Urania),1986-01-05,,,,,,
,I figli di Matusalemme,Urania Collezione 006,Robert A. Heinlein,Paperback,236,Mondadori,2003-07-01,,,,,,
,La pattuglia del tempo - vol. 1,Urania Collezione 026,Poul Anderson,Paperback,346,A. Mondadori (Urania),2005-03-01,,,,,,
,Pianeta stregato,Urania 1339,"Larry Niven, David Gerrold",Paperback,368,A. Mondadori (Urania),1998-07-05,,,,,,
9788804429111,39 fiori del male,,Charles Baudelaire,Paperback,61,Mondadori. I miti poesia 39,1997-01-01,,,,,,
,Il clandestino dello spazio,Urania 137,Charles Eric Maine,Paperback,128,A. Mondadori (Urania),1956-10-25,,,,,,
9788804427209,Haiku,Il fiore della poesia giapponese da Bashō all'Ottocento,,Paperback,288,Mondadori,1998-02-24,,,,,,
9788860401465,Cina,,,Paperback,1136,Lonely Planet Italia,2007-11-22,,,,,,
9780330454278,No Country for Old Men,Film Tie-in,Cormac McCarthy,Paperback,309,Pan Macmillan,2007-12-07,,,,,,
9780330455848,Into the Wild,,Jon Krakauer,Paperback,205,Pan Books,2007-01-01,,,,,,
9788804467663,Cronaca di una morte annunciata,,Gabriel Garcia Marquez,Others,128,Mondadori,1999-03-01,,,,,,
9788807820229,La metamorfosi,e tutti i racconti pubblicati in vita,Franz Kafka,Mass Market Paperback,304,Feltrinelli,2009-01-26,,,,,,
,Le sentinelle del cielo,Urania 470,Eric Frank Russell,Paperback,172,Mondadori (Urania),1967-09-10,,,,,,
,Appuntamento nel tempo,Urania Classici 242,Richard Matheson,Paperback,304,Mondadori (Urania Classici),1997-05-xx,,,,,4,
9780006513704,Abarat,,Clive Barker,Paperback,496,HarperCollins Publishers,2004-08-02,,,,Finished on 2008-01-13,4,
9788806166793,Rumble Tumble,,Joe R. Lansdale,Paperback,251,Einaudi,2004-10-05,,,,,4,
9788846203298,Nome in codice Red Rabbit,,Tom Clancy,Others,600,RL Libri,2004-07,,,,Finished on 2008-05-08,3,
9788850213825,Loop,"La trilogia di Ring, volume 3",Koji Suzuki,Hardcover,338,TEA,2007-06-21,,,,Finished on 2007-11-30,3,
9788875200503,Note su Hiroshima,,Kenzaburo Oe,Paperback,224,Alet Edizioni,2008-01-01,,,,,,
,Non buttiamoci giù,,Nick Hornby,Hardcover,295,Mondolibri S.p.a Milano,2005-10-01,,,,,,
,A. I. Intelligenza artificiale,Urania 1415,Brian Aldiss,Paperback,256,Mondadori (Urania),2001-06-03,,,,,,
9788804444343,36 blues,,Jack Kerouac,Paperback,62,Mondadori,1998-03-01,,,,,,
,Cittadino della galassia,Urania Collezione 027,Robert A. Heinlein,Paperback,314,Mondadori (Urania Collezione),2005-04-01,,,,,,
9788845415210,Il fantasma del Titanic,2010 il Titanic riaffiora dagli abissi,Arthur C. Clarke,Others,258,Sonzogno,1998-02,,,,,,
9788881836604,Il senso della vita,,Alfred Adler,Others,176,Newton Compton Editori,1997-12,,,,,,
9788804384045,La canzone di Shannara,,Terry Brooks,Paperback,490,Mondadori (Oscar Bestsellers 389),1994-04-xx,,,,,,
9788817027915,La Casta,Così i politici italiani sono diventati intoccabili e continuano ad esserlo,"Sergio Rizzo, Gian Antonio Stella",Paperback,314,Rizzoli,2008-11-12,,,,,,
9788804516040,Le notti bianche,,Fëdor Dostoevskij,Paperback,105,Mondadori,2003-01-01,,,,,,
9788845232893,Imperatrice,,Sa Shan,Paperback,436,Bompiani,2004-11-10,,,,,,
,I fiori di Marte,Urania 1328,Ray Bradbury,Paperback,268,Mondadori (Urania),1998-02-01,,,,,,
9788807813641,Pulp,Una storia del XX secolo,Charles Bukowski,Paperback,184,Feltrinelli,2009-03-02,,,,,,
,Assedio all'eternità,Urania 1338,Frederik Pohl,Paperback,362,Mondadori (Urania),1998-06-21,,,,,,
,Alien. Dentro l'alveare,Urania 1294,Robert Sheckley,Paperback,246,Mondadori (Urania),1996-10-13,,,,,,
9788861890374,Pappamondo 2009,Guida ai ristoranti stranieri e ai negozi alimentari etnici di Milano,,Paperback,372,Terre di Mezzo,2004-10-31,,,,,,
,The Witcher,Enhanced Edition,Andrzej Sapkowski,Mass Market Paperback,48,CDPROJEKT,xxxx-xx-xx,,,,,,
9788806183929,La fisica dei supereroi,Tutto quello che dovevo sapere sulla fisica l'ho appreso dai fumetti,James Kakalios,Paperback,395,Einaudi,2007-09-11,,,,Finished on 2008-12-10,3,
9788878182769,Scelti dalle tenebre,Le cronache dei vampiri - Vol. 2,Anne Rice,Paperback,453,TEA,1997-10-09,,,,,3,
9788806170028,La notte del drive-in,,Joe R. Lansdale,Paperback,342,Einaudi,2004-04-13,,,,,5,preferiti
9788804490678,Il grande inverno,Le cronache del ghiaccio e del fuoco - Vol. 2,George R.R. Martin,Paperback,448,Mondadori,2001-07-17,,,,,2,
9788807812941,Tsugumi,,Banana Yoshimoto,Paperback,160,Feltrinelli,2007-10-15,,,,,3,
9780140282542,Mrs. Dalloway,,Virginia Woolf,Paperback,208,Penguin Books Ltd,1999-02-25,,,,Finished on 2008-10-11,3,
,I figli di Medusa,Urania Collezione 018,Theodore Sturgeon,Paperback,176,Mondadori (Urania Collezione),2004-07-01,,,,Finished on 2007-11-26,3,
,American Gods,Urania 1481,Neil Gaiman,Paperback,584,A. Mondadori (Urania),2003-12-17,,,,,,
9780547416113,Life of Pi,,Yann Martel,eBook,336,Houghton Mifflin Harcourt,2002-xx-xx,,,,,,
9780715633182,The Zombie Survival Guide,Complete Protection from the Living Dead,Max Brooks,Paperback,272,Gerald Duckworth and Co. Ltd.,2004-08-27,,,,,,
9780715637036,World War Z,,Max Brooks,Paperback,352,Gerald Duckworth & Co Ltd,2007-08-09,,,,Finished on 2010-07-02,4,
9788884516374,Harry Potter e il principe mezzosangue,,J. K. Rowling,Hardcover,591,Salani,2006-01-01,,,,,3,
9781847248480,Let the Right One In,,John Ajvide Lindqvist,Paperback,519,Quercus,2009-01-01,,,,Finished on 2011-01-02,4,
9780452273337,The Fountainhead,,", Rand",Paperback,752,Plume,1994-11-01,,,,,,
9781429986762,Dead Space: Catalyst,,Brian Evenson,eBook,416,Tor Books,2012-10-02,,,,Finished on 2012-10-16,3,Kindle
9781429914710,Old Man's War,,John Scalzi,eBook,320,Tor,2007-01-14,,,,,,Kindle
9788878242357,Cujo,,Stephen King,Mass Market Paperback,384,Sperling & Kupfer,1992-05-07,,,,,3,
9788804407843,I pilastri della terra,,Ken Follett,Paperback,1032,Mondadori,1995-07-xx,,,,,,
9788811660965,Il mondo perduto,,Michael Crichton,Hardcover,448,Garzanti,1996-06,,,,,3,
9788846200525,Dal Big bang ai buchi neri,,Stephen Hawking,Mass Market Paperback,224,RL Libri,1998-06,,,,,,
9788838918001,Testimone inconsapevole,,Gianrico Carofiglio,Paperback,316,Sellerio Editore Palermo,2002-08-30,,,,Finished on 2009-06-29,3,
,Romance,Giallo Mondadori n. 2577,Ed McBain,Paperback,314,Arnoldo Mondadori,1998-06-21,,,,,3,
,La casa dalle finestre nere,Urania Classici 176,Clifford D. Simak,Paperback,173,Mondadori (Urania Classici),1991-11-01,,,,,3,
,Slan,Urania Collezione 008,Alfred Elton Van Vogt,Paperback,263,Mondadori (Urania Collezione),2003-09-01,,,,,,
9788807815966,Venezia è un pesce,Una guida,Tiziano Scarpa,Mass Market Paperback,128,Feltrinelli,2008-09-15,,,,,,
9780811861847,Magic of Lucas Arts,,Chronicle Books,Hardcover,256,Chronicle Books,2008-09-01,,,,,,
9788804409793,Postmortem,,Patricia D Cornwell,Mass Market Paperback,360,"Mondadori (I Miti, 17)",1995-11-xx,,,,,,
9788804444381,Il cimitero dei senza nome,,Patricia D Cornwell,Mass Market Paperback,364,Mondadori,1998-06,,,,,,
9788804500759,L'ultimo distretto,,Patricia D Cornwell,Mass Market Paperback,510,Mondadori,2001-11,,,,,,
9788804404064,Sulla strada,,Jack Kerouac,Paperback,384,Mondadori,1995-03,,,,,5,
9788845909825,Flatlandia,Racconto fantastico a più dimensioni,Edwin A. Abbott,Paperback,166,Adelphi,1993-06-09,,,,Finished on 2009-01-28,4,
9780995658615,The Unofficial NES/Famicom,A Visual Compendium,"Steve Jarratt, Damien McFerran",Paperback,536,Bitmap,2016-xx-xx,,,"La serie cresce con decisione ad ogni volume e questa quarta uscita dedicata al NES/Famicom è veramente una bomba per qualità, abbondanza e interesse dei contenuti.",Finished on 2017-04-05,5,
9780993131592,The Story of the Commodore Amiga In Pixels,,Roger M. Kean,Paperback,288,Fusion Retro Books,2017-xx-xx,,,"Ricco di informazioni e racconti da parte di chi c'era, con un sacco di ottimi contributi fotografici. Imperdibile per chi ama questo genere di libri.",Finished on 2017-09-17,5,
9780385732918,King Dork,,Frank Portman,Hardcover,344,Delacorte Press Books for Young Readers,2006-04-11,,,,Finished on 2009-03-10,3,
9788804142775,Terzo manuale delle Giovani Marmotte,,Walt Disney,Hardcover,192,Mondadori,1986-01,,,,,4,
9788804398196,Fanteria dello spazio,,Robert A. Heinlein,Mass Market Paperback,294,Mondadori,1995-01,,,,,4,
9788807812439,Kitchen,,Banana Yoshimoto,Paperback,150,Feltrinelli,2008-09-15,,,,,3,
9780140366181,Bridge to Terabithia,,Katherine Paterson,Paperback,160,Penguin Books Ltd,1995-03-30,,,,Finished on 2009-04-06,5,
9780141182797,Breakfast at Tiffany's,,Truman Capote,Paperback,160,Penguin Classics,2000-04-27,,,,Finished on 2009-03-17,4,
9788804507451,1984,,George Orwell,Paperback,336,A. Mondadori (Oscar Classici Moderni),2002-02-01,,,,,,
9788811942252,"Dizionario italiano-francese, francese-italiano",,G. Laurent,Others,516,Garzanti,1987-07,,,,,,
9788804508359,Fight Club,,Chuck Palahniuk,Paperback,223,Mondadori,2004-10-05,,,,Finished on 2007-12-05,4,
9788804492467,Il signore delle mosche,,William Golding,Paperback,250,Mondadori,2001-02-01,,,,,5,preferiti
9788804521365,Invisible Monsters,,Chuck Palahniuk,Paperback,227,Mondadori,2003-04-29,,,,,,
9788807815492,L'ultima amante di Hachiko,,Banana Yoshimoto,Paperback,112,Feltrinelli,2008-02-18,,,,,,
9788806172336,Capitani oltraggiosi,,Joe R. Lansdale,Paperback,273,Einaudi,2005-11-29,,,,,4,
9781847672377,The Game,,Neil Strauss,Paperback,512,Canongate Books,2007-12-06,,,,,,
9788806169121,La sottile linea scura,,Joe R. Lansdale,Paperback,300,Einaudi,2004-04-27,,,,,3,
9788806189846,Great Jones Street,,Don DeLillo,Paperback,242,Einaudi,2009-02-03,,,,,,
9788806191351,L'elefante scomparso,e altri racconti,Haruki Murakami,Paperback,311,Einaudi,2009-02-17,,,,,,
9788834714812,Sotto un cielo cremisi,,Joe R. Lansdale,Paperback,224,Fanucci,2009-04-23,,,,Finished on 2009-07-02,3,
9781858283821,The Rough Guide to Berlin 8,(Rough Guide Travel Guides),Richard Trillo,Paperback,1,Rough Guides,2008-03-31,,,,,,
9788807821189,Cuore di tenebra,,Joseph Conrad,Paperback,124,Feltrinelli,2008-03-03,,,,,,
9788811741091,Palpebre,,Gianni Canova,Hardcover,230,Garzanti,2010-01-14,,,,Finished on 2011-11-12,3,
9788884518781,Harry Potter e i doni della morte,,J. K. Rowling,Hardcover,701,Salani,2008-01-01,,,,Finished on 2008-02-11,4,
9788865830307,Una tigre in casa,,Carl Van Vechten,Paperback,380,LIT - Libri in Tasca,2011-08-29,,,,,,
9788866480679,Pixar,25 Anni di animazione,AA. VV.,Paperback,184,24 Ore Cultura,2011-01-01,,,,,4,
9780099464464,The Time Traveler's Wife,,Audrey Niffenegger,Paperback,560,Vintage,2004-05-29,,,,,,
9780441010516,Club Dead,(Southern Vampire Mysteries 3),Charlaine Harris,Mass Market Paperback,272,Ace,2003-04-29,,,,Finished on 2011-09-29,3,
9788846201980,Ecstasy,,Irvine Welsh,Paperback,304,RL Libri,2001-08-xx,,,,,,
9781594202858,Reality Is Broken,,Jane McGonigal,Hardcover,388,"Penguin Press HC, The",2011-01-20,,,,Finished on 2011-10-26,3,
9780306809903,Friday Night Lights,"A Town, a Team and a Dream",H. G. Bissinger,Paperback,400,The Perseus Books Group,2000-07-21,,,,Finished on 2012-02-04,5,
9780345524744,Deus Ex,,James Swallow,eBook,352,Del Rey Books,2011-02-22,,,,Finished on 2012-02-22,3,Kindle
9780262514880,Persuasive Games,The Expressive Power of Videogames,Ian Bogost,Paperback,464,MIT Press Ltd,2010-09-10,,,,,,
9780812972153,Masters of Doom,How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,Paperback,368,Random House Trade Paperbacks,2004-05-11,,,,,,
9782918272151,History of Nintendo,,Florent Gorges,Paperback,242,Pix n Love Publishing,2011-08-01,,,,,,
9781847674340,Popco,,Scarlett Thomas,Others,467,Canongate Books Ltd.,2009-02-01,,,,Finished on 2012-07-23,3,
9781569317778,The Art of Spirited Away,,,Hardcover,240,VIZ Media LLC,2002-10-01,,,,,,
9781591166986,The Art of My Neighbor Totoro,,"Hayao Miyazaki, Nobuhiro Watsuki",Hardcover,176,VIZ Media,2005-11-08,,,,,,
9781101554241,Tough Sh*t,"Life Advice from a Fat, Lazy Slob Who Did Good",Kevin Smith,Others,272,Gotham Books,2012-03-20,,,,,,Kindle
9780307483041,Cloud Atlas,,David Mitchell,eBook,528,Random House,2008-12-10,,,,,,Kindle
9788863550924,Bioshock,Rapture,John Shirley,Hardcover,464,Multiplayer Edizioni,2012-02-01,,,,Abandoned on 2012-12-04,,
9788897707059,Le catene di Gorée,Dal Senegal all'America senza ritorno,"Giuseppe Cecconi, Ndongo Diop",Paperback,82,Giovane Africa,2011-06-xx,,,,,,
9780956507242,Generation Xbox: How Videogames Invaded Hollywood,,Jamie Russell,Paperback,330,Yellow Ant,2012-03-31,,,,Finished on 2012-08-05,4,Kindle
,I segreti erotici dei grandi Chef,,Irvine Welsh,Paperback,433,Mondolibri,2007-03-01,,,,,,
9781480297234,The Making of Karateka,Journals 1982-1985,Jordan Mechner,Paperback,236,CreateSpace,2012-12-26,,,,Finished on 2013-01-05,4,Kindle
,Alice's Adventures in Wonderland,,Lewis Carroll,eBook,,,xxxx-xx-xx,,,,,,
,Pride and Prejudice,,Jane Austen,eBook,,,xxxx-xx-xx,,,,,,
,The Adventures of Sherlock Holmes,,Arthur Conan Doyle,eBook,,,xxxx-xx-xx,,,,,,Kindle
,La cucina senegalese,ricette e racconti,Penda Thiam,Paperback,81,Giovane Africa Edizioni,2010-12-13,,,,,,
9780993012945,Generation 64,The Story of How the Commodore 64 Inspired a Generation of Swedish Gamers,Jimmy Wilhelmsson,Hardcover,188,Bitmap,2016-03-xx,,,"La struttura segmentata lo rende magari poco scorrevole, ma il focus ridotto e teoricamente poco interessante per chi non ha vissuto in quei luoghi gli permette di fare un discorso molto concentrato, convincente e lineare, trovando invece temi universali. ",Finished on 2016-05-10,4,
9781429949316,BioShock: Rapture,,John Shirley,eBook,432,Tor Books,2011-07-19,,,,Finished on 2012-12-26,3,Kindle
9788882745929,L'ultimo cavaliere,"La Torre Nera, Vol. 1",Stephen King,Paperback,223,Sperling & Kupfer,2003-07-01,,,,,,
,Buick 8,,Stephen King,Hardcover,358,Mondolibri su licenza Sperling & Kupfer,2003-05-01,,,,,,
9788820026349,La lunga marcia,,Stephen King,Hardcover,384,Sperling & Kupfer,1998-09-08,,,,,5,
9788845901843,Siddharta,,Hermann Hesse,Paperback,198,Adelphi,1985-09-30,,,,,3,
9788806175009,La ragazza dello Sputnik,,Haruki Murakami,Paperback,236,Einaudi,2006-04-12,,,,Finished on 2007-08-20,4,
,La donna del fiume,I misteri di Owen Archer,Candace Robb,Paperback,420,Piemme,2009-xx-xx,,,,,,
9788879839068,I miti di Cthulhu,,Howard P. Lovecraft,Paperback,320,Newton Compton Editori,1995-01-xx,,,,,,
9780755334155,Fragile Things,,Neil Gaiman,Paperback,448,Headline Review,2007-04-05,,,,Finished on 2009-05-30,2,
9788804508069,Mucchio d'ossa,,Stephen King,Paperback,608,Mondadori,2002-07,,,,,3,
9780307379283,Extra Lives,,Tom Bissell,eBook,208,Pantheon Books,2010-06-08,,,,Finished on 2012-09-19,4,Kindle
9788845230455,Il piccolo principe,,Antoine de Saint-Exupéry,Paperback,128,Bompiani,1997-04-09,,,,Finished on 2011-05-07,4,
,Io sono leggenda,Urania 1292,Richard Matheson,Paperback,218,A. Mondadori (Urania),1996-09-15,,,,,5,
9781401231996,Peter and Max: A Fables Novel,,Bill Willingham,eBook,400,Vertigo,2010-12-28,,,,Finished on 2013-03-23,3,Kindle
9788817210416,Contact,,Carl Sagan,Paperback,404,Rizzoli,1997-09,,,,,,
9781468093650,The Making of Prince of Persia,Journals 1985 - 1993,Jordan Mechner,Paperback,330,CreateSpace,2011-12-22,,Edizione,eBook su Kindle,Finished on 2012-11-17,4,Kindle
9780743244251,Cosmopolis,A Novel,Don DeLillo,Paperback,224,Scribner,2004-03-30,,,,,,
9788845215599,Shining,,Stephen King,Paperback,432,Bompiani,1981-01-01,,,,,4,
9788804536307,Delitto e castigo,,Fëdor Dostoevskij,Paperback,695,Mondadori,2005-01-14,,,,Finished on 2007-07-18,5,
9781616550417,The Legend of Zelda,Hyrule Historia,"Shigeru Miyamoto, Eiji Aonuma",Hardcover,276,Dark Horse Comics,2013-01-29,,,,,,
9781466567535,Honoring the Code,Conversations with Great Game Designers,Matt Barton,Paperback,240,Taylor & Francis Inc,2013-04-24,,,,Finished on 2013-07-05,5,
