ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9781783787357,Wanderlust,A History of Walking,Rebecca Solnit,Paperback,352,Granta,2022-07-07,,,,,,
9780007350803,Jane Eyre,,Charlotte Brontë,Paperback,490,HarperPress (Collins Classics),2010-04-01,,,,,,
9780747596776,Lush Life,,Richard Price,Paperback,464,Bloomsbury Publishing PLC,2009-07-06,,,,,,
9781940535012,Chrono Trigger,,Michael P. Williams,Paperback,192,Boss Fight Books,2014-04-01,,,"I libri della collana Boss Fight Books si incentrano su un approccio critico molto personale e che può cambiare molto da caso a caso. Questo su Chrono Trigger filtra la rilettura del gioco attraverso l'esperienza dell'autore in Giappone, il suo rapporto con la vita da immigrato e - inevitabilmente - il ricordo dell'innamoramento nei confronti di Chrono Trigger ai tempi in cui ci giocò quasi trent'anni fa. Ne viene fuori un'analisi magari non omnicomprensiva ma sicuramente interessante nelle chiavi di lettura che offre su vari aspetti del gioco, dalle scelte di localizzazione all'identità dei personaggi, passando per l'approccio ai paradossi temporali, quello alla sessualità e molto altro.",Finished on 2022-08-11,4,ebook
,Dalla parte delle bambine,L'influenza dei condizionamenti sociali nella formazione del ruolo femminile nei primi anni di vita,Elena Gianini Belotti,Paperback,196,Giangiacomo Feltrinelli Editore,1973-01-01,,,,,,
9788879833561,La casa sull'abisso,Il Fantastico Economico Classico 2,William Hope Hodgson,Paperback,91,Newton - Compagnia del Fantastico,1994-01-15,,,,,,
9788842903628,La mano sinistra delle tenebre,Cosmo Oro 65,Ursula K. Le Guin,Paperback,269,Nord,1984-09-01,,,,,,
9791280263209,Campo di battaglia,Le lotte dei corpi femminili,Carolina Capria,Paperback,181,Effequ,2021-11-24,,,,,,
9781786691347,Pachinko,,Min Jin Lee,eBook,608,Head of Zeus,2017-02-23,,,"Quasi un secolo di storia della Corea (o, meglio, del popolo coreano) visto attraverso lo sguardo di una famiglia che vive la brutalità del sentirsi sempre fuori posto, poco importa se sia nella Corea invasa dai Giapponesi, in Giappone o nei magici iuessei. Un bel libro, appassionante e toccante, che in certe cose mi ha ricordato L'amica geniale, anche se poi è molto diverso nello stile di scrittura e nell'approccio alla narrazione. No comment sul titolo italiano che proprio boh.",Finished on 2022-04-30,5,
9781847085122,The Faraway Nearby,,Rebecca Solnit,Paperback,272,Granta,2014-05-01,,,,,,
9780375703867,White Teeth,,Zadie Smith,Paperback,464,Vintage Books USA,2001-06-12,,,,,,
9780062060624,The Song of Achilles,,Madeline Miller,Paperback,378,Ecco Press,2012-08-28,,,,,,
9780007105090,The Hobbit: Gift Pack,,J.R.R. Tolkien,Hardcover,320,HarperCollins Publishers,2000-09-09,,,"Beh, che bellezza. Non avevo mai letto Lo hobbit e farlo leggendolo a mia figlia (che, di contro, se l'era fatto leggere in italiano da mamma due o tre anni fa) è stato proprio piacevole. Abbiamo impiegato mesi ma ci siamo goduti l'avventura, chiacchierandone e appassionandoci alle vicende, davvero ben costruite e tutto sommato meno distanti di quanto mi aspettassi dal tono e dalla complessità di quel che verrà dopo. E adesso mia figlia vorrebbe che le leggessi Il signore degli anelli ma quello l'ho già letto e secondo me non siamo pronti. Né io, né lei.",Finished on 2022-04-01,5,
9780140368376,The Vicar of Nibbleswicke,,Roald Dahl,Paperback,48,Puffin Books,1994-05-01,,,"Fa parte delle storie brevi di Dahl, quelle divertenti e fuori di testa, ed è delizioso. Forse il suo libro più divertente in senso stretto, io e mia figlia ci siamo proprio fatti delle gran risate. In più ha un bel modo leggero di parlare di dislessia, cosa che magari, nel 1991, non si faceva poi molto. Non invidio chi ha dovuto inventarsi come tradurlo in italiano, fatico a immaginare come non si possano perdere certi giochi linguistici, semplici semplici ma proprio belli.",Finished on 2022-04-03,5,
9782212559699,Du désir au plaisir sexuel,Des réponses à vos questions et les clés d'une relation épanouie,Christophe Marx,Softcover,184,Eyrolles,2014-05-27,,,,,,
9780141377520,Billy and the Minpins,,Roald Dahl,Paperback,128,Puffin,2018-xx-xx,,,Il Roald Dahl fuori di testa che si inventa mondi in un metro quadro e li popola di follie buffe e spaventose.,Finished on 2021-08-05,5,
9798721371011,The Marvellous Land of Oz,With Original Illustrations,L. Frank Baum,Paperback,204,Independently published,2021-03-13,,,,,,
9780575095946,The Trouble With Peace,,Joe Abercrombie,Paperback,560,Gollancz,2021-05-13,,,,,,
9780141304700,"The Wonderful Story of Henry Sugar, and Six More",,Roald Dahl,Paperback,225,Penguin Books Australia,1999-12-02,,,"Ho letto con mia figlia la prima storia, quella della tartaruga, ma il resto da solo, perché obiettivamente questo è uno dei libri di Dahl non adatti ai bambini (a parte appunto la prima storia) e lei per prima non ne era molto attratta. E, beh, è una bella raccolta, magari altalenante come è normale per le raccolte, specie poi quando come in questo caso vanno a pescare da diversi periodi nella carriera dello scrittore, ma piena di idee interessanti e sempre piena della personalità che Dahl infilava nella sua scrittura. Sono curioso di vedere cosa Wes Anderson tirerà fuori dalla storia di Henry Sugar.",Finished on 2022-01-23,4,
